Fecha;TRAMO HORARIO;Nm Tot Victimas;DISTRITO;Lugar;Numero;Tipo Accidente;Tipo Vehiculo
08/02/2018 0:00;DE 19:00 A 19:59;1;CENTRO                        ;CALLE  GRAN VIA                                                                                 ;32;CAÍDA BICICLETA                         ;BICICLETA                               
09/02/2018 0:00;DE 12:00 A 12:59;1;SALAMANCA                     ;CALLE DE VELAZQUEZ                                                                              ;28;CAÍDA BICICLETA                         ;BICICLETA                               
10/02/2018 0:00;DE 19:00 A 19:59;1;CENTRO                        ;CALLE DE ARGUMOSA                                                                               ;28;CAÍDA BICICLETA                         ;BICICLETA                               
12/02/2018 0:00;DE 13:00 A 13:59;1;CENTRO                        ;CALLE  GRAN VIA                                                                                 ;37;COLISIÓN DOBLE                          ;BICICLETA                               
13/02/2018 0:00;DE 8:00 A 8:59;1;CHAMBERI                      ;CALLE DE JOSE ABASCAL - CALLE DE SANTA ENGRACIA                                                     ;;ATROPELLO                               ;BICICLETA                               
14/02/2018 0:00;DE 2:00 A 2:59;1;RETIRO                        ;CALLE DE O'DONNELL - CALLE DEL DOCTOR ESQUERDO                                                      ;;CAÍDA BICICLETA                         ;BICICLETA                               
14/02/2018 0:00;DE 18:00 A 18:59;1;CHAMBERI                      ;CALLE DE BRAVO MURILLO                                                                          ;9;CAÍDA BICICLETA                         ;BICICLETA                               
14/02/2018 0:00;DE 21:00 A 21:59;1;SALAMANCA                     ;CALLE DE GOYA - PASEO DE LA CASTELLANA                                                              ;0;COLISIÓN DOBLE                          ;BICICLETA                               
15/02/2018 0:00;DE 4:00 A 4:59;1;RETIRO                        ;CALLE DE ALFONSO XII                                                                            ;68;CAÍDA BICICLETA                         ;BICICLETA                               
15/02/2018 0:00;DE 18:00 A 18:59;1;MONCLOA-ARAVACA               ;CALLE DE FERRAZ                                                                                 ;5;COLISIÓN DOBLE                          ;BICICLETA                               
15/02/2018 0:00;DE 20:00 A 20:59;1;SAN BLAS                      ;CALLE DE ALBASANZ                                                                               ;71;COLISIÓN DOBLE                          ;BICICLETA                               
16/02/2018 0:00;DE 9:00 A 9:59;1;CENTRO                        ;PLAZA DE LA PUERTA DEL SOL                                                                      ;1;CAÍDA BICICLETA                         ;BICICLETA                               
18/02/2018 0:00;DE 3:00 A 3:59;1;CARABANCHEL                   ;CALLE DE LA VIA                                                                                 ;48;COLISIÓN DOBLE                          ;BICICLETA                               
18/02/2018 0:00;DE 12:00 A 12:59;1;VILLA DE VALLECAS             ;AVENIDA DEL MAYORAZGO - CALLE DE VILLAMANTA                                                         ;;COLISIÓN DOBLE                          ;BICICLETA                               
19/02/2018 0:00;DE 13:00 A 13:59;1;HORTALEZA                     ;CALLE DE ARTURO SORIA - CAMINO DE LA HUERTA                                                         ;;CAÍDA BICICLETA                         ;BICICLETA                               
21/02/2018 0:00;DE 9:00 A 9:59;1;TETUAN                        ;CALLE DE RAIMUNDO FERNANDEZ VILLAVERDE - PASEO DE LA CASTELLANA                                     ;;CAÍDA BICICLETA                         ;BICICLETA                               
21/02/2018 0:00;DE 18:00 A 18:59;1;CIUDAD LINEAL                 ;CALLE DE ASCAO                                                                                  ;45;CHOQUE CON OBJETO FIJO                  ;BICICLETA                               
22/02/2018 0:00;DE 7:00 A 7:59;1;RETIRO                        ;CALLE DE MAIQUEZ - CALLE DEL ALCALDE SAINZ DE BARANDA                                               ;;COLISIÓN DOBLE                          ;BICICLETA                               
